"","GCL","INL","ONL"
"C1qa",1.13942765294601,-0.731820173592611,-0.407607479353399
"Cdk8",1.06446677205824,-0.144699041244119,-0.919767730814117
"Filip1l",1.13810553630215,-0.400124259074633,-0.737981277227521
"Ctss",0.926890296430206,0.13292368379043,-1.05981398022064
"Gphn",0.899220250172763,0.17772726919155,-1.07694751936431
"Jarid2",1.01183596524387,-0.024107870047215,-0.98772809519665
"Camk1d",0.620308986731305,0.533298273975404,-1.15360726070671
"Il31ra",0.790113008332951,0.334183562990624,-1.12429657132357
"Scg2",0.667358240585291,0.482393630166637,-1.14975187075193
"Apoe",0.595411875003568,0.559098313379683,-1.15451018838325
"Cd44",0.259457070961476,0.844700282466509,-1.10415735342798
"Ms4a7",0.0793741678613534,0.957947521577391,-1.03732168943874
"C1qb",-0.606211492612643,1.15421133298066,-0.547999840368014
"P2ry12",-0.209713996790007,1.08822622186235,-0.878512225072343
"Diras2",-0.505908426220165,1.15186605428783,-0.645957628067671
"Rogdi",-0.446377013561859,1.14544696910193,-0.699069955540071
"Wbp2",-0.58804197304262,1.15463412751737,-0.566592154474752
"Adgrl3",-0.273699668281408,1.10835195389495,-0.834652285613538
"Tmem119",-0.560809676765851,1.15454406060919,-0.593734383843338
"Hexb",-0.52681498759192,-0.626451751611084,1.153266739203
"Gngt1",-0.708075057893518,-0.435881634190722,1.14395669208424
"Rho",-0.565313160869083,-0.589304297478656,1.15461745834774
"Rbp3",-0.495547662680303,-0.655456142425703,1.15100380510601
"Pdc",-0.647646752238315,-0.504074723429557,1.15172147566787
"Pde6b",-0.633657652042446,-0.519148736480332,1.15280638852278
"Sag",-0.849790784100292,-0.252150926486228,1.10194171058652
"Tma7",-0.625580082303794,-0.52773787062057,1.15331795292436
"Abca4",-0.504267449083719,-0.647469385082573,1.15173683416629
"Aipl1",-0.778390606094602,-0.349439280666296,1.1278298867609
"Hmox1",-0.489070494421815,-0.661338661572484,1.1504091559943
"Nr2e3",-0.491222357509876,-0.659389067991896,1.15061142550177
"Ndufa4",-0.916179508589283,-0.150565592376054,1.06674510096534
"Pde6g",-0.517435422803164,-0.635259602304634,1.1526950251078
"Hmgn1",-0.574797568406752,-0.579899213324154,1.15469678173091
"Rcvrn",-0.71898378393337,-0.423002030585203,1.14198581451857
"Guca1a",-0.516944624562737,-0.635717931096274,1.15266255565901
"Prph2",-0.556309516372805,-0.598138452728067,1.15444796910087
