,CLMP,LRIG1,NPTXR,AHCY,THOP1,CTSO,FCRL1,CD164,DDC,ACP6,TFF2,S100P,ANGPT2,CD2AP,ANGPTL7,CLEC5A,TINAGL1,GLRX,ENO2,NADK,GHRL,SERPINB8,SERPINB6,CDHR5,CCDC80,DIABLO,CA13,SEMA3F,KLK10,PILRB,ANGPTL1,APLP1,ADGRG2,TYMP,GRAP2,LILRA5,ALDH1A1,CD79B,ANXA4,ANXA11,SIGLEC7,ITGB7,QDPR,SNAP23,APEX1,ENTPD5,CLSTN2,COMT,CLUL1,HDGF,CHRDL2,CTSH,NOMO1,NQO2,SOST,FAM3C,TXNDC5,PPP1R2,DPP7,LRP11,ADGRE2,ENPP7,SSC4D,MCFD2,REG4,SUMF2,CANT1,CD1C,GAL,CDH2,TYRO3,CRKL,IGFBPL1,RTN4R,VCAN,FBP1,TSHB,BAG6,NECTIN2,ARG1,USP8,FKBP4,SDC4,PAG1,KYAT1,DAB2,NPDC1,METRNL,MEP1B,ROR1,NT-proBNP,RNASE3
Gla20,0.61932,5.38478,5.22347,3.88535,1.77043,7.20698,0.84034,8.86180,0.32897,2.15616,4.11999,-0.73979,0.20054,0.85668,6.13016,6.41105,2.05825,0.44558,4.61985,0.82093,-0.51542,2.14251,5.37982,-1.42819,3.48167,0.51756,4.77196,3.82420,3.45298,3.38261,3.94919,9.01844,-0.87596,4.92483,-0.73395,0.51701,6.99400,-0.15929,-0.54335,1.32314,1.00210,-0.39899,2.75262,-0.18270,3.38325,-0.34132,10.17578,3.48852,8.99172,1.37025,0.22563,4.47523,2.56761,0.11715,-0.04139,7.04866,-0.27667,1.80857,3.77323,4.17433,-0.16459,-0.18283,1.69297,4.05776,5.24664,6.27416,5.29025,-0.14446,-0.54219,1.69155,-0.32711,2.33558,6.69321,1.50777,1.73190,3.93231,0.04858,-0.27845,3.47934,-0.04480,-1.40664,1.00671,4.25491,1.27079,7.98831,0.20329,7.04594,3.73345,0.08166,4.46050,1.69318,1.49505
Gla09,1.04182,5.32384,5.36679,2.94599,3.62340,6.97011,0.56859,8.74938,0.28150,2.96032,5.67504,-0.32234,1.25883,1.53788,6.05797,5.95552,2.78784,1.95502,4.64754,0.60643,0.23839,1.88863,5.07019,-0.55640,3.68400,1.55207,3.92453,4.95394,4.27054,2.94289,3.19233,9.08753,0.22967,5.37429,-0.61574,0.56393,5.21588,0.17091,0.19713,5.26521,1.00535,-0.46674,2.69503,0.05710,2.90339,0.10956,9.72309,2.57572,8.65853,1.65042,0.35901,4.09628,3.38141,1.36777,1.29521,7.14853,-0.08348,2.10003,6.45218,4.90517,-0.15726,-0.08888,0.47516,4.44328,7.11959,6.52478,5.39155,0.31283,-0.47966,2.22608,-0.17766,2.93370,6.06880,1.64598,1.48868,2.48013,-0.19556,-0.24499,3.74317,2.13282,-1.33137,0.94350,5.15327,1.97262,8.02526,0.38353,8.08730,3.29245,0.13178,4.25678,2.18582,0.57294
Gla32,2.38570,6.16543,6.66813,3.56880,2.94769,7.89190,1.01759,8.32612,3.69247,3.61275,8.15572,-1.25810,0.90330,0.57536,7.05401,7.05878,3.73906,2.12386,6.57385,2.26908,-1.07220,4.71138,5.97447,-0.02447,4.63576,0.00502,4.28300,5.84760,4.46904,5.05000,4.30122,8.45507,-0.62024,7.90099,-1.30758,1.39240,3.84750,0.83357,-1.14574,-0.22977,2.83991,-1.10692,4.14236,-0.79380,2.96849,0.11378,9.82628,0.59154,9.13607,1.86444,2.30469,5.91410,4.53585,3.77212,1.44908,6.56591,0.79600,4.74356,6.27893,6.08512,1.70977,3.01573,1.53996,4.30992,7.87571,6.63477,6.18097,1.64226,0.18658,2.93638,0.32263,5.05331,7.56282,1.94279,2.47569,5.25896,-0.63840,-0.80744,5.34785,0.61983,-2.05180,2.67882,5.50482,2.82202,9.05200,-0.11200,8.89391,4.92429,0.89537,5.90110,3.73548,3.87162
Gla11,-0.00087,4.54783,4.40703,1.81159,0.65319,6.31713,-0.57956,8.35860,-0.37052,2.25021,5.29493,-1.00668,-0.28447,-0.44338,5.44712,5.81017,1.51247,0.48260,4.20442,-0.90614,-0.37299,1.65469,4.83542,-0.95133,2.92258,0.16250,3.08132,3.96407,2.92454,3.06065,2.50539,8.41474,-1.48190,3.74091,-1.84570,-0.28423,3.64013,0.14358,-1.36213,0.07730,0.59533,-1.57007,1.87520,-0.94573,2.63524,-0.64365,9.37148,1.01424,7.81154,-0.57279,-0.37838,2.87216,2.75824,-1.04877,0.56886,6.60186,-0.97228,0.15092,4.43303,3.97181,-0.54005,-0.50633,0.17054,3.61042,6.43151,5.95579,4.95507,-0.30858,-1.01352,1.32334,-0.84970,1.72851,5.56248,0.96378,0.86523,2.44615,-0.89542,-1.28598,3.09400,1.56647,-2.03868,-0.70529,4.34918,1.09422,7.50239,-0.72167,6.42018,2.59157,-2.24396,3.84580,1.66729,0.07451
Gla05,0.72079,6.17233,6.30408,4.00806,1.77999,8.10046,-0.24064,8.80136,0.58422,3.10709,4.67347,-0.72808,1.12047,0.80465,7.12007,6.78015,3.57633,0.95800,7.07782,1.74765,0.32532,4.14356,5.42904,-0.54634,4.72769,-0.05502,4.34602,6.49340,4.07322,4.36379,4.32201,9.10908,-0.77324,6.29007,-1.05944,0.62024,4.82005,0.16065,-0.78779,0.85541,2.31886,-0.87780,2.86973,-0.33851,3.36742,-0.46300,11.02453,1.96729,9.19765,1.84755,1.19023,5.42452,3.91869,3.68025,0.94666,7.20377,0.65262,4.82619,6.18255,6.36899,0.78162,-0.18090,2.15316,4.74495,5.72076,6.59000,6.28614,0.34693,-0.14462,2.75387,-0.21258,4.51663,7.32298,2.54015,3.51922,6.05972,-0.43575,-0.61106,4.83706,0.24189,-1.96673,1.54836,5.04612,2.02002,7.45366,0.20248,9.32759,4.67732,-0.94424,4.58347,2.92664,4.34916
Gla37,1.77767,5.52743,5.18364,2.90893,2.09758,7.71665,0.51443,8.75816,1.09916,3.19672,4.80387,-0.56511,0.72260,0.43293,7.18879,6.71064,2.05445,0.87812,4.57114,0.09292,-0.35164,4.29056,5.66432,-0.47540,3.65229,0.28930,2.83253,3.43321,3.94395,4.07549,3.76274,9.08583,-0.26822,4.49838,-0.70624,0.03257,2.69208,0.89823,-0.78802,0.58340,1.25593,-0.66775,2.74343,-0.35610,3.25126,0.08907,10.89290,3.43728,8.84558,0.98522,0.43252,5.60628,3.56309,0.05221,0.26336,7.18845,0.48060,0.29662,6.90905,3.85064,0.38538,0.29820,-0.13554,4.31850,5.75053,6.47989,5.63862,0.10005,-0.55085,2.25833,-0.17796,2.30123,7.16022,1.85468,2.57949,-0.22730,0.42035,-0.56301,3.93189,0.39714,-1.71134,0.21915,4.03077,1.77646,7.67526,-0.08372,7.19004,3.98134,-0.14865,4.45585,2.53589,1.54666
Gla18,0.75197,4.84900,4.58058,4.16124,1.27752,6.90437,0.09941,8.64712,0.00272,2.30917,3.81619,-0.58618,0.02100,0.67943,5.91369,6.06201,1.64978,0.67386,4.12743,0.40575,-0.68818,1.75244,4.68646,-0.51652,3.21059,0.96895,4.04148,3.67348,2.81795,3.55328,3.94082,8.89492,-0.69368,4.40671,-0.70702,0.44163,6.89859,-0.54066,-0.31875,1.58540,0.85323,-0.36514,2.56154,-0.20137,2.77005,-0.17490,9.91836,3.40749,8.80179,1.58001,-0.00346,4.72062,2.56539,-0.43624,-0.41265,6.81804,-0.08732,1.44568,3.12240,3.83717,-0.37664,-0.29060,1.26183,3.98815,4.84434,5.85388,5.14854,-0.01673,-0.76960,1.48194,-0.63554,2.08857,6.72581,1.15793,1.82661,4.47084,-0.31423,-0.48748,3.27432,0.81764,-1.48096,-0.16860,4.01564,1.36760,7.15352,0.21872,6.54865,3.53987,-0.48994,4.16186,1.38558,1.69595
Gla19,-0.46901,4.88504,4.72380,3.80133,1.12649,7.23565,0.39549,8.49934,-0.18904,2.31561,3.85087,-0.43118,-0.17390,0.66662,6.04892,6.08840,1.92272,2.14151,4.43762,0.41798,-1.44064,1.96987,4.86941,-1.19984,3.41800,-0.09383,4.20625,4.04220,4.26299,3.66941,3.93728,8.79679,-1.10653,6.43196,-1.76180,-0.18683,6.87019,-0.31206,-0.75708,1.98425,0.66966,-1.00040,2.75427,-0.56528,2.58033,-0.81106,9.95706,3.09394,8.73744,0.79991,-0.14580,4.44388,2.71151,0.60037,-0.16080,6.68057,-0.60234,1.75022,3.71257,4.27204,-0.14966,-0.60288,0.98416,4.00137,4.98103,5.80535,5.08473,0.03603,-0.77391,1.58684,-0.53991,2.31952,7.01144,1.19353,1.67500,4.31954,-0.81717,-0.66100,3.63266,2.03007,-2.07758,0.51270,4.48604,0.91460,7.26256,-0.58589,6.78268,3.55886,-1.58065,4.36632,1.39592,2.43528
Gla44,-0.25678,4.06300,4.03683,2.12913,1.07751,4.90334,-0.48695,8.33544,-1.07430,1.31764,2.07246,-0.54676,-0.64148,0.05344,4.83096,5.39226,1.83990,-0.07644,2.55544,-0.52979,-1.23382,3.27961,4.52856,-1.43695,1.97400,0.96990,3.44190,0.99797,0.71281,1.15355,1.10399,7.89463,-0.54549,2.72790,-1.31943,-0.79779,2.20593,-0.68739,-0.91051,0.48159,0.02031,-1.27008,1.58977,-0.77953,2.10624,-0.33171,8.58946,0.31720,5.92917,0.07739,-0.28772,2.22648,1.83553,0.23527,-0.71626,6.73508,-1.01994,0.00659,5.50360,1.76335,-1.06031,-0.56174,0.62307,2.67876,3.83606,5.54044,4.38264,-0.87426,-0.90752,1.34487,-0.71270,1.09359,3.89934,0.55281,1.46579,0.58934,-1.24526,-1.73333,1.98660,0.03929,-2.14888,-0.19488,3.51764,0.67505,7.41214,-0.39537,5.23860,1.87573,-1.04219,3.00148,1.25442,-0.25779
Gla04,1.40976,6.08711,6.17089,3.73556,1.88831,7.97079,0.34121,8.84784,0.93691,3.36955,4.62459,-0.18693,1.31418,0.80394,6.90502,6.91251,3.36927,2.79778,7.05276,1.99112,0.01604,4.26075,5.38749,-0.65234,4.64136,0.22523,4.33747,6.31409,4.46597,4.25177,4.19303,9.08338,0.01555,6.56926,-0.18489,1.04006,4.45432,0.19424,-0.45041,1.73782,2.39083,-0.45583,2.82867,-0.24014,3.43614,0.18215,11.01210,1.32473,8.87172,2.54093,1.04443,5.05444,3.78852,3.48918,1.25009,7.15016,0.91946,4.75883,6.84640,6.10282,0.90411,0.21279,2.14586,4.66083,5.51619,6.65430,6.17244,0.35092,0.06795,2.65180,-0.25360,4.21695,7.09213,2.22005,3.36865,4.87294,-0.47234,-0.18314,4.77879,3.56154,-1.46210,2.02779,5.13703,2.22189,7.58496,0.30032,9.44839,4.23775,-0.28954,4.66385,2.78907,4.10759
Gla22,-0.24423,5.02593,4.53650,3.53510,0.92722,6.85409,0.32019,8.62982,-0.30649,2.05814,3.73315,-0.71656,0.00873,0.21047,5.80295,6.05734,1.66153,0.10776,4.23594,0.23822,-1.28819,1.83420,4.86208,-1.26547,3.20301,0.12817,4.04186,3.64971,3.10862,3.41354,3.76489,8.84009,-0.07869,3.93796,-1.15347,0.19707,6.76028,-0.27426,-0.56340,1.16479,0.57501,-0.90331,2.42442,-0.66985,2.72311,-0.43073,9.93320,2.82439,8.56245,1.14610,-0.09947,4.31830,2.64393,-0.32634,-0.25506,6.85187,-0.35832,1.30024,3.21116,3.70686,-0.39640,-0.72113,1.28586,3.80026,4.67625,5.94053,4.90716,0.17731,-0.98687,1.36054,-0.61221,1.67994,6.58323,0.90363,1.57001,4.02561,-0.75328,-0.79294,3.44162,0.03316,-1.76220,-1.42991,4.44777,1.36739,7.26528,-0.46767,6.74027,3.51025,-0.59092,4.19443,1.66522,2.05308
Gla13,0.42800,5.08130,5.02914,3.49692,1.79606,7.01876,0.40461,8.91955,-0.04510,2.72440,5.00989,-0.53139,0.94613,1.16834,6.12933,6.08064,2.14863,0.46179,4.31304,0.83479,-0.36848,2.12187,5.08810,-0.81457,3.61771,0.97360,3.52707,4.50252,3.62396,3.24842,3.58860,9.20930,-0.52681,4.91306,-0.48121,0.23228,5.92900,0.11045,-0.39754,2.02539,0.91532,-0.42450,2.41494,-0.07260,2.57032,0.19345,9.85159,2.62245,8.72676,1.28925,0.22627,4.34447,3.22703,0.47859,0.57451,7.07949,0.05239,2.40374,5.26174,4.33767,-0.43094,0.01741,1.46003,4.27595,6.25044,6.27690,5.19820,0.39630,-0.15572,1.66394,-0.37348,2.44296,6.36327,1.46739,1.25116,4.03927,-0.22968,-0.71327,3.45986,1.22686,-1.60991,1.20951,4.73413,1.50131,7.66486,-0.40969,7.42868,3.34886,-0.19674,4.35199,2.34639,0.28171
Gla42,0.38153,5.38750,5.26256,3.75443,2.24844,7.22735,0.36861,8.47863,-0.33581,2.78082,2.32774,-0.69621,0.77983,4.17835,5.69076,6.09771,1.63984,1.27292,4.64383,1.94994,-0.21933,5.23019,5.24461,-0.78771,4.71610,1.64955,4.79235,5.62329,4.04721,3.43870,4.00169,9.04870,0.16604,6.39689,-0.54765,-0.09279,4.67097,-0.33967,0.27295,5.46825,0.53967,-0.47072,3.24922,0.36635,5.09061,1.06263,10.44451,5.19796,8.34047,2.92262,0.80294,5.32400,4.10449,0.63293,0.84599,7.09757,1.56760,2.87646,6.38439,6.46987,-0.05534,-0.61361,1.74732,4.22330,4.37314,6.27392,5.44363,-0.13747,-0.99628,2.11673,-0.50296,3.48642,7.49691,1.32067,2.56653,1.17225,-0.85228,0.68450,3.85209,-0.42215,-0.55697,2.69534,4.92703,1.56779,8.41991,-0.16977,8.07899,3.57848,-0.29284,4.70598,2.84517,0.86883
Gla34,2.66146,6.37203,7.24641,4.92232,3.73065,8.37216,1.83446,8.92645,3.86450,3.64541,8.29038,-0.25451,1.66728,2.04570,7.63350,7.26445,4.45893,1.86197,7.21579,2.90734,0.41655,5.15393,6.35142,0.72623,5.57897,1.01788,4.47184,6.56531,5.01225,5.26754,4.92410,9.05451,-0.12233,8.85912,-0.55224,1.87998,4.63706,1.32282,-0.67492,2.17940,3.38426,-0.46749,4.67186,0.11757,3.63754,0.55282,10.29640,2.02707,9.57847,2.72205,3.14859,7.15092,4.67197,4.76918,2.34448,7.11332,1.69971,5.54883,5.28108,6.76446,2.47026,3.17925,3.70632,4.89478,8.10731,7.05196,6.36623,1.82039,0.98245,3.40260,0.97085,5.47536,7.94569,2.32528,2.99044,7.54441,0.08587,0.20431,5.75912,0.68416,-1.05526,3.68734,5.93166,3.57604,9.27476,0.32133,9.37661,5.91299,1.44482,6.05950,4.46884,3.76185
Gla41,0.18594,5.28425,4.51337,3.92206,1.48075,5.84558,-0.11693,8.74608,-0.26968,1.42478,2.36949,-0.57221,-0.41159,0.59116,5.34136,4.22586,0.93431,0.19403,3.89748,0.00373,-0.51565,3.48966,4.94417,-1.32685,2.99605,0.91857,4.32781,2.24116,1.83603,1.85619,2.54135,8.83515,-0.39907,2.78115,-1.01189,-0.22266,5.12202,-0.86637,-0.77130,1.79287,-0.08919,-0.67001,2.67236,-0.25422,3.48620,-0.66936,9.91793,2.13164,7.80187,1.59928,-0.05282,3.05467,2.47790,0.25760,-0.73464,6.99662,-0.42770,0.93707,6.57007,2.59535,-0.94984,-0.65448,1.98981,3.35232,3.08795,5.73166,4.64781,-0.66592,-0.94813,1.30810,-1.21832,1.65764,4.48080,1.72982,2.98718,1.22615,-1.24699,-0.59726,2.08005,0.02382,-1.53620,0.32722,4.76857,1.30619,8.52629,-0.51504,6.32493,2.18337,-0.55172,3.38409,1.44700,-1.05251
Gla03,0.94783,5.50208,5.44044,2.90626,1.84216,7.29784,0.36105,8.51447,0.31053,2.90318,4.20835,-0.89205,0.76279,0.81146,6.61897,6.52774,2.86633,1.34515,6.47509,1.50989,0.10426,3.86602,4.98409,-0.49197,4.12411,1.19390,4.33341,5.63416,3.58801,3.76109,3.38553,8.88996,-0.09004,4.87049,-0.93407,0.70273,3.66621,0.23839,-0.81744,1.72255,2.22220,-0.85634,2.59634,0.01066,3.05424,0.81907,10.26756,1.27739,8.40844,1.76718,1.10952,4.22117,3.34596,3.22775,0.59840,6.86037,0.32260,4.30190,5.50999,5.66341,1.22865,0.00251,1.88912,4.41827,5.16431,6.24663,5.64812,-0.60152,-0.23667,2.43865,-0.34683,3.75063,6.50433,2.19306,2.90685,4.93920,0.06238,-0.66803,4.19750,0.81935,-1.57466,2.27345,4.73068,2.09754,7.29506,-0.18590,8.70834,3.74820,-0.59467,4.21315,2.68960,3.63130
Gla31,2.37143,6.19138,6.66490,4.32881,3.30217,7.86473,1.33431,8.49953,3.38055,3.35258,7.99605,-0.71545,1.24454,1.26954,7.11365,6.94965,3.95724,1.28466,6.67077,2.69273,-0.16466,4.77550,6.00824,0.49374,4.82019,0.12280,4.33260,6.04097,4.55444,5.01864,4.34347,8.80783,0.01226,7.63042,-0.54781,1.41132,4.16997,0.91711,-0.77434,1.07065,2.96652,-0.60296,4.34002,-0.46577,3.15490,0.69622,9.88604,1.28936,9.10819,2.45838,2.70416,6.13009,4.34944,4.13748,1.97699,6.80669,1.33093,5.30268,4.67857,6.25372,2.08143,2.90549,1.82119,4.54157,7.78536,6.67730,5.99968,1.84312,0.67316,3.14056,0.52353,5.13113,7.73193,2.01598,2.67796,6.78957,0.14078,-0.58189,5.43887,0.32070,-1.48112,2.91287,5.61769,3.03820,8.94879,0.19021,9.10728,4.90779,1.04254,5.82510,4.20876,3.81869
Gla38,1.13425,5.78386,5.41246,2.91522,1.51145,7.01874,0.18345,8.74794,-0.02365,2.77275,3.40639,-0.24278,0.57389,1.28333,5.61402,6.12538,1.75914,0.27979,4.02258,0.13520,-0.17924,3.48228,5.55550,-0.89490,3.58447,1.24593,2.90205,3.93143,3.56481,3.29956,3.89647,9.16626,-0.25676,3.75083,-1.05121,-0.14685,3.52226,-0.30887,-0.14768,2.00975,0.61512,-0.51676,2.15650,0.01022,3.25737,0.65427,10.13607,2.51175,8.90334,1.40683,0.29205,5.07217,3.61195,-0.02693,-0.11668,7.17191,0.25929,1.45466,6.64614,4.32151,-0.65643,-0.49427,1.65369,3.81384,4.52047,6.36258,5.43601,-0.46264,-0.23671,1.95781,-0.47051,2.01753,6.91434,2.30924,2.28107,0.74446,-0.83380,-0.70763,3.52447,0.24438,-1.47849,1.36645,4.81241,1.52882,6.93923,-0.06521,8.49966,3.33172,-0.05148,4.53606,3.06457,0.27325
Gla23,0.94119,6.65451,5.65925,2.93304,0.96638,7.96589,0.65473,8.69064,0.17178,3.19767,4.51919,-0.75663,0.52080,0.65035,6.43434,6.81033,1.75462,0.04171,5.44368,0.37880,-0.39558,2.08993,5.72678,-0.27382,5.17973,0.42427,0.67642,5.99015,5.01371,4.04486,4.58903,9.20377,-0.21046,4.29726,-0.80057,1.19904,4.16881,0.05167,-0.56175,0.43747,1.90043,-0.38665,2.67393,-0.24151,1.67543,0.46055,10.22550,0.45125,8.95730,1.31968,0.68972,5.19957,3.66012,0.05017,0.31054,7.17684,0.28297,1.80012,4.83141,5.86949,0.15204,0.33772,1.98648,4.61290,4.71633,6.53037,6.03597,0.63740,-0.51708,2.27602,0.11316,2.15482,7.56432,1.97997,2.14748,3.06513,0.53812,-1.13362,4.34050,0.19387,-1.88893,0.53056,4.33540,1.89083,6.60422,-0.23921,9.01899,5.03968,-0.01923,4.70016,2.84914,3.22950
Gla36,2.67859,6.25776,6.41224,1.18411,1.72822,8.34531,3.20392,8.93160,2.22652,2.41212,5.65386,-0.75534,0.76800,-0.04642,7.30630,6.83714,2.68594,0.23264,4.74505,1.17484,0.69314,3.48518,6.48176,0.09811,3.99751,0.39167,1.14545,5.48056,4.55628,4.38746,4.83237,9.25151,0.03850,6.76211,-1.16606,1.50186,1.39482,3.98189,-1.05725,0.06144,2.60092,-0.31495,2.84940,-0.24922,2.19622,0.18932,11.04909,1.39696,9.64238,0.73876,1.33354,6.54962,4.69333,0.80283,0.55671,7.46356,0.74328,1.15641,7.09033,6.69513,1.16514,1.63459,2.33046,4.79981,6.17486,7.12680,6.48796,2.35477,-0.09461,2.80468,0.44054,2.75746,8.01237,2.43829,3.63466,0.24331,0.91883,-0.80934,5.19217,1.57595,-1.82542,0.58489,5.11724,2.24863,7.23464,-0.06802,8.91896,5.05348,0.57250,5.46165,3.36684,2.53531
Gla02,1.14691,5.93328,5.96407,2.82812,1.67934,7.71346,0.52779,8.78017,0.51957,2.94534,4.48822,-0.62135,0.84118,0.97282,6.73546,6.81022,2.65892,0.84398,6.57002,1.21337,-0.05605,4.20270,5.31748,-0.55356,4.41166,0.88130,4.44446,5.83340,3.71675,4.09542,3.71983,9.08323,0.39320,4.99730,-0.48512,0.84101,3.51786,0.26710,-0.43142,0.82287,2.27248,-0.54774,2.97840,-0.08650,3.91302,0.50523,10.86436,0.54269,8.45566,2.68830,1.02828,4.09953,3.65242,2.58715,0.88913,7.28091,0.98056,4.51303,4.68780,5.65635,0.82118,0.14195,2.93658,4.53505,5.49421,6.55333,6.00521,0.72310,0.14619,2.40961,-0.54580,4.19330,6.91492,2.19252,2.94916,5.19798,-0.24847,-0.64146,4.45938,0.29409,-1.62376,2.12280,4.76923,2.07214,7.60963,0.65551,9.01349,3.78976,0.37084,4.41928,3.50855,3.85387
Gla07,0.43584,4.99402,4.86658,2.81869,0.99669,6.61634,0.57985,8.65990,-0.35668,2.84602,5.32764,-0.61425,0.95246,1.58220,5.99885,5.85826,2.44332,1.41656,3.90002,0.49906,-0.24472,1.68050,4.83615,-1.13424,3.70313,0.26976,2.94181,4.87618,3.85072,2.92932,3.03851,8.94270,-0.79631,5.00232,-1.07634,0.03910,4.69021,-0.04766,0.16492,4.91623,0.79681,-0.57258,2.15472,-0.16709,2.30952,0.32505,9.13386,2.55712,8.46766,1.61409,-0.04735,4.08632,3.35988,1.39297,1.06296,6.98336,-0.18813,2.80187,6.31893,4.73992,-0.10072,-0.19592,0.14621,4.12841,6.36014,6.25560,4.95293,0.28021,-0.42858,1.76644,-0.73367,2.01495,5.87123,1.82566,1.02981,2.95980,-0.77702,-0.44943,3.02710,1.72423,-1.65267,0.09140,4.70822,1.21926,7.45775,0.13845,8.08095,2.95219,-0.53187,3.88823,2.26221,-0.16320
Gla43,0.58799,4.68261,4.45650,1.61392,1.29500,6.46567,0.47605,8.68492,-0.44785,2.31178,4.05691,-0.72839,-0.90741,0.28476,6.05030,6.20720,1.26165,-0.29562,3.85790,-0.34218,-0.12005,1.89171,5.14030,-0.91105,3.59549,0.47237,0.17067,2.15726,2.00685,1.52922,2.38071,8.78969,-0.19233,1.72933,-0.52781,-0.27605,2.44574,-0.35689,-0.57995,-0.73977,0.45430,-0.48252,1.84344,0.03345,1.90674,-0.09919,9.47193,-1.01136,7.89906,0.67761,-0.27214,2.65438,2.27927,-0.67181,-0.60985,7.01912,-0.27038,0.15259,6.59805,2.28751,-0.51033,-0.46354,0.51220,3.45087,4.54856,5.67066,4.88181,-0.41013,-0.80633,1.30826,-0.78466,1.19701,5.34316,1.40609,2.64074,-0.39039,1.07131,-0.88790,2.63912,0.20429,-1.80374,0.08072,4.83281,1.07009,6.46828,-0.03026,6.74788,2.16187,-0.35438,3.39767,1.89230,0.51990
Gla27,2.66613,6.05212,6.53267,1.08492,1.75972,8.31936,3.11226,8.83390,2.23542,2.48041,5.60253,-0.84169,0.80446,0.58017,7.44101,6.86042,2.76482,0.68834,4.84541,1.32053,0.63948,3.54573,6.34856,0.23963,4.30242,0.40186,1.02898,5.87312,5.06256,4.48114,5.05522,9.22761,-0.76669,6.35813,-1.18580,1.45352,1.55309,3.99901,-0.83077,1.04332,2.50315,-0.55095,2.76401,-0.51026,2.11618,0.49630,11.08703,2.00776,9.69855,0.61760,1.26721,6.85658,4.77959,0.94375,0.90944,7.30053,1.11049,1.02645,7.06480,6.94972,1.46338,1.70343,2.81694,4.65708,6.58739,6.98919,6.39303,2.26030,-0.40012,2.66063,0.17876,2.34552,8.25402,2.36200,3.43145,0.05685,1.05257,-0.50975,5.16586,0.19683,-1.88318,0.37985,5.26402,2.11373,7.28067,0.18392,9.00870,5.22649,0.38641,5.43246,3.51100,3.19151
